"Product ID","Active (0/1)","Name *","Categories (x,y,z...)","Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Low stock level","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x,y,z)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No, 1 = Yes)","Product available date","Product creation date","Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No, 1 = Yes)","Condition","Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
"NULL","1","FARO DELANTERO  CHEVROLET CAVALIER IZQUIERDO",",500003","0","1","0","1","","","CHEVROLET","CAVALIER","0303011701","26201823","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1118L-MLD-M2","","","","","","0","1","","","","0","","2017/","","26201823,0303011701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303011701.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET CAVALIER DERECHO",",500003","0","1","0","1","","","CHEVROLET","CAVALIER","0303011702","26201824","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1118R-MLD-M2","","","","","","0","1","","","","0","","2017/","","26201824,0303011702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303011702.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET EQUINIOX IZQUIERDO",",500003","0","1","0","1","","","CHEVROLET","EQUINIOX","0303051701","84258431","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1120L-MLD-M2","","","","","","0","1","","","","2","","2017/","","84258431,0303051701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303051701.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET EQUINIOX DERECHO",",500003","0","1","0","1","","","CHEVROLET","EQUINIOX","0303051702","84258432","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1120R-MLD-M2","","","","","","0","1","","","","2","","2017/","","84258432,0303051702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303051702.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET TRACKER IZQUIERDO",",500003","0","1","0","1","","","CHEVROLET","TRACKER","0303171701","94538720","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1121L-MLD-M2","","","","","","0","1","","","","2","","2017/","","94538720,0303171701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303171701.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET TRACKER DERECHO",",500003","0","1","0","1","","","CHEVROLET","TRACKER","0303171702","42566043","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1121R-MLD-M2","","","","","","0","1","","","","2","","2017/","","42566043,0303171702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303171702.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET CRUZE IZQUIERDO",",500003","0","1","0","1","","","CHEVROLET","CRUZE","0303211601","84106718","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1116L-MLD-M2","","","","","","0","1","","","","1","","2017/","","84106718,0303211601","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303211601.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO DELANTERO  CHEVROLET CRUZE DERECHO",",500003","0","1","0","1","","","CHEVROLET","CRUZE","0303211602","84106719","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1116R-MLD-M2","","","","","","0","1","","","","1","","2017/","","84106719,0303211602","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0303211602.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO GUARDACHOQUE CHEVROLET SPARK GT IZQUIERDO",",500006","0","1","0","1","","","CHEVROLET","SPARK GT","0603091401","95214449","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","235-2018L-UQ","","","","","","0","1","","","","12","","2014/","","95214449,0603091401","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0603091401.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO GUARDACHOQUE:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO GUARDACHOQUE CHEVROLET SPARK GT DERECHO",",500006","0","1","0","1","","","CHEVROLET","SPARK GT","0603091402","95214450","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","235-2018R-UQ","","","","","","0","1","","","","12","","2014/","","95214450,0603091402","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0603091402.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO GUARDACHOQUE:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO GUARDACHOQUE CHEVROLET SPARK GT -BEAT ",",500006","0","1","0","1","","","CHEVROLET","SPARK GT -BEAT","0603091800","42548992","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","235-2021N-U-N","","","","","","0","1","","","","12","","2018/","","42548992,0603091800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0603091800.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO GUARDACHOQUE:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET CAVALIER IZQUIERDO",",500009","0","1","0","1","","","CHEVROLET","CAVALIER","0903011701","90926846","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1917L-A","","","","","","0","1","","","","6","","2017/","","90926846,0903011701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903011701.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET CAVALIER DERECHO",",500009","0","1","0","1","","","CHEVROLET","CAVALIER","0903011702","90926847","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1917R-A","","","","","","0","1","","","","6","","2017/","","90926847,0903011702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903011702.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET SPARK-BEAT IZQUIERDO",",500009","0","1","0","1","","","CHEVROLET","SPARK-BEAT","0903091901","42564713","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","235-1952L-U","","","","","","0","1","","","","0","","2017/","","42564713,0903091901","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903091901.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET SPARK-BEAT DERECHO",",500009","0","1","0","1","","","CHEVROLET","SPARK-BEAT","0903091902","42564719","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","235-1952R-U","","","","","","0","1","","","","0","","2017/","","42564719,0903091902","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903091902.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET CRUZE IZQUIERDO",",500009","0","1","0","1","","","CHEVROLET","CRUZE","0903211601","95490806","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1916L-U","","","","","","0","1","","","","6","","2017/","","95490806,0903211601","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903211601.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","FARO POSTERIOR CHEVROLET CRUZE DERECHO",",500009","0","1","0","1","","","CHEVROLET","CRUZE","0903211602","95490807","DEPO AUTO PARTS IND. CO. LTDA","DEPO AUTO PARTS IND. CO. LTDA","","135-1916R-U","","","","","","0","1","","","","6","","2017/","","95490807,0903211602","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/0903211602.jpg","","1","CATEGORIA:ILUMINACION:0,SUBCATEGORIA:FARO POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MOLDURAS NISSAN X-TRAIL ",",500013","0","1","0","1","","","NISSAN","X-TRAIL","1314121700","62278-6FL0A","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS04427MA","","","","","","0","1","","","","5","","2017/","","62278-6FL0A,1314121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1314121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MOLDURAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","CAPOT TOYOTA FORTUNER ",",500014","0","1","0","1","","","TOYOTA","FORTUNER","1420241800","53301-KK030","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY20243B","","","","","","0","1","","","","1","","2017/","","53301-KK030,1420241800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1420241800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:CAPOT:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","CAPOT VOLKSWAGEN GOL ",",500014","142.89","1","0","1","","","VOLKSWAGEN","GOL","1423019500-LHT","undefined","LOMA HERMOSA PLAST S.A.","LOMA HERMOSA PLAST S.A.","","LHT-06052015","","","","","","11","1","","","","1","","null","","undefined,1423019500-LHT","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1423019500-LHT.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:CAPOT:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAFANGO MAZDA CX 5 IZQUIERDO",",500016","0","1","0","1","","","MAZDA","CX 5","1513151701","KB7W-52-211","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ10097AL","","","","","","0","1","","","","1","","2017/","","KB7W-52-211,1513151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1513151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAFANGO MAZDA CX 5 DERECHO",",500016","0","1","0","1","","","MAZDA","CX 5","1513151702","KB7W-52-111","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ10097AR","","","","","","0","1","","","","1","","2017/","","KB7W-52-111,1513151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1513151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAFANGO VOLKSWAGEN GOL ",",500016","38.08","1","0","1","","","VOLKSWAGEN","GOL","1523019501-LHT","undefined","LOMA HERMOSA PLAST S.A.","LOMA HERMOSA PLAST S.A.","","LHT-06052010","","","","","","4","1","","","","1","","null","","undefined,1523019501-LHT","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1523019501-LHT.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAFANGO VOLKSWAGEN GOL ",",500016","38.08","1","0","1","","","VOLKSWAGEN","GOL","1523019502-LHT","undefined","LOMA HERMOSA PLAST S.A.","LOMA HERMOSA PLAST S.A.","","LHT-06052009","","","","","","3","1","","","","1","","null","","undefined,1523019502-LHT","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1523019502-LHT.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDACHOQUE DELANTERO CHEVROLET D-MAX ",",500017","0","1","0","1","","","CHEVROLET","D-MAX","1609101800-NH","8983433290","AUTO GLOBAL PARTS INTERNATIONAL SDN BHD","AUTO GLOBAL PARTS INTERNATIONAL SDN BHD","","IZ026-24A-2WD","","","","","","0","1","","","","1","","2019","","8983433290,1609101800-NH","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1609101800-NH.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDACHOQUE DELANTERO MAZDA CX 5 ",",500017","0","1","0","1","","","MAZDA","CX 5","1613151700","KB8A-50-031EBB","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ04177BB","","","","","","0","1","","","","1","","2017/","","KB8A-50-031EBB,1613151700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1613151700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDACHOQUE DELANTERO NISSAN X-TRAIL ",",500017","0","1","0","1","","","NISSAN","X-TRAIL","1614121700","62022-6FL0H","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS04427BB","","","","","","0","1","","","","1","","2017/","","62022-6FL0H,1614121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1614121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDACHOQUE DELANTERO TOYOTA FORTUNER ",",500017","0","1","0","1","","","TOYOTA","FORTUNER","1620241800","52119-0M953","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY04602BA","","","","","","0","1","","","","1","","2017/","","52119-0M953,1620241800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1620241800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE DELANTERO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDACHOQUE POSTERIOR NISSAN X-TRAIL ",",500018","0","1","0","1","","","NISSAN","X-TRAIL","1714121700","85022-6FL0H","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS04428BB","","","","","","0","1","","","","1","","2017/","","85022-6FL0H,1714121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1714121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDACHOQUE POSTERIOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA FORD EXPLORER ",",500020","301.01","1","0","1","","","FORD","EXPLORER","1906111600","FB5Z-8200-BB","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","FD07419GD","","","","","","0","1","","","","5","","null","","FB5Z-8200-BB,1906111600","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1906111600.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA NISSAN X-TRAIL ",",500020","0","1","0","1","","","NISSAN","X-TRAIL","1914121700","62310-6FL0A","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS07380GA","","","","","","0","1","","","","5","","2017/","","62310-6FL0A,1914121700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1914121700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","MASCARILLA NISSAN X-TRAIL ",",500020","0","1","0","1","","","NISSAN","X-TRAIL","1914121800","62254-6FL0A","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","DS07377GA","","","","","","0","1","","","","5","","2017/","","62254-6FL0A,1914121800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/1914121800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:MASCARILLA:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR CHEVROLET SPARK BEAT ",",500021","0","1","0","1","","","CHEVROLET","SPARK BEAT","2003091800","42568878","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CV30121A","","","","","","0","1","","","","1","","2019/","","42568878,2003091800","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2003091800.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 ",",500021","0","1","0","1","","","MAZDA","CX 5","2013151700","KB7W-53-150B","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041AU","","","","","","0","1","","","","1","","2017/","","KB7W-53-150B,2013151700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 IZQUIERDO",",500021","0","1","0","1","","","MAZDA","CX 5","2013151701","KB7W-54-140","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041BL","","","","","","0","1","","","","1","","2017/","","KB7W-54-140,2013151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR MAZDA CX 5 DERECHO",",500021","0","1","0","1","","","MAZDA","CX 5","2013151702","KB7W-53-140","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ30041BR","","","","","","0","1","","","","1","","2017/","","KB7W-53-140,2013151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2013151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE ""U"" DE RADIADOR VOLKSWAGEN GOL ",",500021","40.44","1","0","1","","","VOLKSWAGEN","GOL","2023019500-LHT","undefined","LOMA HERMOSA PLAST S.A.","LOMA HERMOSA PLAST S.A.","","LHT-06052022","","","","","","12","1","","","","1","","null","","undefined,2023019500-LHT","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2023019500-LHT.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE ""U"" DE RADIADOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079201-PK","80101-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D1","","","","","","0","1","","","","1","","1992/","","80101-85Y40,2314079201-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079201-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079202-PK","80100-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D2","","","","","","0","1","","","","1","","1992/","","80100-85Y40,2314079202-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079202-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079203-PK","82101-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D3","","","","","","0","1","","","","1","","1992/","","82101-85Y40,2314079203-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079203-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","PUERTAS NISSAN SENTRA B13 ",",500024","0","1","0","1","","","NISSAN","SENTRA B13","2314079204-PK","82100-85Y40","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","PK-NS-B13-D4","","","","","","0","1","","","","1","","1992/","","82100-85Y40,2314079204-PK","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2314079204-PK.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:PUERTAS:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","SOPORTE GUARDACHOQUE CHEVROLET SAIL ",",500026","0","1","0","1","","","CHEVROLET","SAIL","2603151700","9066304","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CV44327A","","","","","","0","1","","","","1","","2017/","","9066304,2603151700","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/2603151700.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:SOPORTE GUARDACHOQUE:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL IZQUIERDO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151701","undefined","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081BL","","","","","","0","1","","","","10","","2017/","","undefined,3103151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL DERECHO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151702","undefined","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081BR","","","","","","0","1","","","","10","","2017/","","undefined,3103151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL IZQUIERDO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151801","26674855","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081AL","","","","","","0","1","","","","10","","2017/","","26674855,3103151801","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151801.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","RETROVISOR CHEVROLET SAIL DERECHO",",500031","0","1","0","1","","","CHEVROLET","SAIL","3103151802","26674856","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","CVM1081AR","","","","","","0","1","","","","10","","2017/","","26674856,3103151802","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3103151802.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:RETROVISOR:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO MAZDA CX 5 IZQUIERDO",",500036","0","1","0","1","","","MAZDA","CX 5","3713151701","KB7W-56-140C","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ11097AL","","","","","","0","1","","","","10","","2017/","","KB7W-56-140C,3713151701","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3713151701.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO MAZDA CX 5 DERECHO",",500036","0","1","0","1","","","MAZDA","CX 5","3713151702","KB7W-56-130C","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","MZ11097AR","","","","","","0","1","","","","10","","2017/","","KB7W-56-130C,3713151702","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3713151702.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO TOYOTA FORTUNER IZQUIERDO",",500036","0","1","0","1","","","TOYOTA","FORTUNER","3720241801","53806-0K221-PFM","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY11366AL","","","","","","0","1","","","","15","","2017/","","53806-0K221-PFM,3720241801","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3720241801.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"
"NULL","1","GUARDAPOLVO DE GUARDAFANGO TOYOTA FORTUNER DERECHO",",500036","0","1","0","1","","","TOYOTA","FORTUNER","3720241802","53805-0K221-PFM","TONG YANG GROUP CO. LTDA","TONG YANG GROUP CO. LTDA","","TY11366AR","","","","","","0","1","","","","15","","2017/","","53805-0K221-PFM,3720241802","","","","","","","","","","","https://247.com.ec/jep/img/p/productos/3720241802.jpg","","1","CATEGORIA:CARROCERIA:0,SUBCATEGORIA:GUARDAPOLVO DE GUARDAFANGO:1","0","new","0","0","0","0","0","0","0","0"